,Reviews,Date,Names,Tittles
1639,"
Isn't  user friendly.
","August 24, 2017",Amazon Customer,"
difficult to use
"
1640,"
GOOD APP BUT,  I EXPECTED VERBAL DIRECTIONS ALONG WITH MAPS
","February 4, 2016",JAY DEUTSCH,"
Three Stars
"
1641,"
I did not like the OverDrive Media Console.  I found it difficult to use so just deleted it.  I would not recommend it.
","May 30, 2014",robert wirsching,"
Limited cover
"
1642,"
I found it hard to navigate
","November 13, 2014",Donna Hartzell,Does not work on Kindle fire
1643,"
My library is not covered.
","December 2, 2015",Des Egan,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1644,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Overdrive Media Console
"
1645,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
One Star
"
1646,"
I was very excited to learn of a new app for my Kindle.  I now use web access to review reading material for my Kindle.  I thought having an app to access would be so much faster and easier.  I downloaded the free app and it does not work.  I am not even able to review a book list.  Perhaps I downloaded it wrong, or perhaps the app does not work well on Kindles.  None the less, I am unable to use the app, so even at free, it was not a good deal for me.
","April 25, 2013",TERRY,"
doesnt work
"
1647,"
Did not work
","August 21, 2014",doug,"
Not familar with this yet.
"
1648,"
I've tried to get books from the WI digital library and downloaded this program on my android tablet; so far, none of the audiobooks nor ebooks have worked from this app. I wanted to listen and/or read books from this device but had to use Kindle on Android instead. The ePub doesn't work with this app or Adliko they recommend. I just love it to work!
","November 1, 2012",Dream 4 More Book Reviews,"
Three Stars
"
1649,"
I am not familar with this yet and need it to be clear as mud for me to use it well.
","May 14, 2013",Susan L. Riethmiller,"
The idea is wonderful and I would be a faithful user if I ...
"
1650,"
Works ok
","December 9, 2014",Jonathan Long,"
It doesn't work. Refuses to list my library. ...
"
1651,"
Sorry, but this is probably the most user unfriendly app I've tried to use. It's confusing, awkward and difficult. The idea is wonderful and I would be a faithful user if I could figure out how it works. Each try has resulted in a trip to the library to have one of the staff, who do know it well but also have some degree of difficulty as a user, to help me wade through the cryptic messages and awkward flow. I'm sure the programers can't understand what the problem is, and maybe it's the result of generational issues, but it doesn't work for me.
","January 18, 2017",L. Biringer,"
One Star
"
1652,"
It doesn't work.  Refuses to list my library.  Confirmation email just entered into an endless loop.  The one book I successfully loaded disappeared, and now I can't sign on because of previous 3 sentences.
","November 9, 2016",John Donohue,"
Three Stars
"
1653,"
do not know what this is or who order it.
","April 25, 2016",charmene Ward,"
not worth it
"
1654,"
Have had issues downloading in the past.
","September 25, 2015",BJ,Does not work on Kindle fire
1655,"
I downloaded this program in order to read books from my library that weren't available to borrow in Kindle format.  I did spend a couple weeks with it giving it the benefit of the doubt, trying to read the book I'd borrowed, attempting to get past the learning curve.  In the end I finally just bought the book from Amazon and returned the epub book to the library. I hope I find a use for it in the future, but for me, it just  wasn't worth it.
","June 5, 2013",mitch,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1656,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Too hard to use
"
1657,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
OverDrive Library eBooks.
"
1658,"
I consider myself a fairly sophisticated computer user, and I had to have a technician at the library set it up so that I could read books.  I just tried to get a new book without his help, and I cannot access it on my kindle fire.  I just want to be able to read borrowed books, and this has taken away that joy.
","August 12, 2013",Carol Wirsz,"
Overdrive is underdriven!
"
1659,"
I read in Yours magazine that I could download eBooks from my local library. Have to download OverDrive to get these books, but told that these eBooks from my library only applies to the USA. So sorry no stars.
","July 31, 2015",Amazon Customer,"
One Star
"
1660,"
Overdrive is not easy to use at all. I get very frustrated trying to get a book as it seems to be in different ways.
","February 16, 2016",Mary O'Neil,"
Super
"
1661,"
The book I wanted was not available.
","July 21, 2017",Cathy V.,"
Three Stars
"
1662,"
Absolutely super.  Thanks for a wonderful service!!!
","March 30, 2015",PB,"
Can't login anymore
"
1663,"
Will use when traveling.
","March 2, 2016",Amazon Customer,"
Two Stars
"
1664,"
I use to love this app used it all the time and then all of a sudden when I go to login now it asks for a PIN number instead of just my library card number. Now I can't use this app.
","October 17, 2016",mslate,"
every time I look for books I need to sign ...
"
1665,"
It is hard to find my books.  I have to search for them every single time.
","January 23, 2017",Amazon Customer,"
A lot of trouble
"
1666,"
every time I look for books I need to sign in and it never remembers any of my info a real pain
","July 27, 2016",Don,Does not work on Kindle fire
1667,"
It asked me for my library five times (type it in twice, choose it from a list three times) before telling me that the book I wanted wasn't available.It's free ebooks and audiobooks, and that's worth a lot right there.  But it's so much trouble to use that I generally don't bother.
","August 13, 2019",C. T. Dixon,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1668,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Very Disappointed
"
1669,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
It's okay
"
1670,"
Extremely difficult to use. I was so looking forward to accessing my library and borrowing books but after four days, I'm still trying to figure out the app. Very disappointing!
","July 31, 2015",Polly Snow,"
Not easy to navigate on my Kindle
"
1671,"
I like being able to borrow electronic books but I am able to do this directly from my local library. This app was confusing when trying to get started.
","December 15, 2012",Customer 41,"
Useless app.
"
1672,"
Adequate.  Not easy to navigate on my Kindle Fire
","July 31, 2014",CaptBobB,"
One Star
"
1673,"
Does not work on kindle fire hd. get with the program amazon. this is why iPad is better. also stupid that I have to give a star to something that doesn't work.
","January 10, 2013",payton place,"
Wrong App for elibrary in my area
"
1674,"
Don't work well on BlackBerry 10 and is currently not supported on there anymore.
","September 28, 2016",Amazon Customer,"
Three Stars
"
1675,"
My local library uses ePlatform,so .in order to use Overdrive I am joining Rotherham library ,on ilne.It would be better if Amazon allowed me to get the ePlatforn app on my Kindle Fire.
","December 18, 2014",john fenwick,"
Two Stars
"
1676,"
Very difficult to use. Still haven't gotten it to work so I could read a book
","October 21, 2014",max kuypers,"
Yuck Yuck Yuck
"
1677,"
Didn't like the format.
","December 8, 2016",Kevin Mullen,"
Wast of time
"
1678,"
This should have gotten a lot more feedback in the beta stage than it did.  Tooo many bugs and definitely not user friendly.
","July 22, 2013",Dr. Nyko,Does not work on Kindle fire
1679,"
Unable to access any data
","August 7, 2017",D S.,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1680,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
One Star
"
1681,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Three Stars
"
1682,"
very confusing to use
","February 5, 2016",DAG,"
library rentals
"
1683,"
I haven't really used it not what I was looking for
","May 11, 2016",D McC,"
Problems
"
1684,"
I found this to be extremely confusing and difficult to follow. It needs to be simpler. I am not the only person that I know that feels this way.
","January 16, 2013",d,"
It seems like it will be a good app
"
1685,"
App has not cooperated since the last update and correction.  I cannot download books to my iPad since then
","February 17, 2016",Amazon Customer,"
Disappointed by Absence of Christian Compassion
"
1686,"
It seems like it will be a good app, but I haven't had time to actually figure out how it all works.
","July 1, 2014",Kindle Customer,"
cannot be used unless you have a library card at ...
"
1687,"
I have read the first two books of this series and was excited to read this third book in the series.  I was looking forward to reading a good, clean mystery, with Christian values.  However, the protagonist, Callie, really disappointed me.  She found fault in everyone, but herself.  I have seen her err on more than one occasion, but I found her to be rigid, cold, callous, and unfeeling in her initial judgments of Luisa and Ellen and responses to them in different situations.  I was not thrilled about her in-laws either.  When someone in lower socioeconomic circumstances has problems, it must automatically be something that person is doing wrong and bringing it upon him or herself?  When someone makes an innocent mistake we just automatically punish?Has anyone read the Book of Job lately?We are supposed to be in the world not of it and the Grace that is given to us is supposed to be passed on to others.Again, I was thoroughly disappointed.
","July 22, 2014",AD,"
Cannot be recognized on Kindle HD - Update
"
1688,"
cannot be used unless you have a library card at one of the listed libraries.  Of course my small town does not have OverDrive so I cannot use the app at all- unless I want to buy the books
","April 9, 2015",stefani sloan,"
Overdrive media
"
1689,"
I thought that I could get the app to work despite what many others had stated. I cannot get this app to even be recognized on my Kindle HD. I'd really like to use this app because my local library uses this software for their audio library. I've lost the ability to stream radio and other online media and I was hoping that at the least I could listen to books during the work day.I tried it again and this time I downloaded the app directly from the Amazon App Store and it worked! Can't remember how I downloaded it the first time, maybe through my library's link to Overdrive, but it's my suggestion that you download it from the Amazon App Store. I then downloaded a book, seemed to be quite fast even on WI-FI. It was a bit confusing navigating Overdrive on the Kindle HD at first but I think I have the hang of it now.
","December 3, 2013",John & Carol,"
Three Stars
"
1690,"
I downloaded this app so I would be able to borrow e-books from my local library. It took a while to find my city's name and branch. This app is klunky to say the least. After putting all the information in, I still couldn't borrow a book.I was hoping to use this to borrow books to take with me on vacation. It doesn't look like that is going to happen with this app.
","July 30, 2014",HD Nut,Does not work on Kindle fire
1691,"
The more hey try & improve it - the more complicated it becomes to get a kindle or e-book
","July 15, 2016",Patricia Cram,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1692,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
dislike
"
1693,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
The service that it provides is great (renting eBooks from the library to your mobile device)
"
1694,"
Installed to read book and magazines at the local library and have not been able to do it at all.  Very unhappy with this app.
","July 8, 2013",M. Evans,"
One Star
"
1695,"
The service that it provides is great (renting eBooks from the library to your mobile device), but is clunky and unclear how to use.  It takes a few tries to figure out how to use properly.
","September 16, 2014",matthew petcovic,"
Doesn't do anything
"
1696,"
Slow moving, Unable to get off the ground
","December 24, 2016",CAROL SWENSON,"
Eh, it works.
"
1697,"
It wouldn't let me get any of the content i was able to borrow, on an ipod, iphone, or kindle.
","May 25, 2014",Lesley,"
Doesn't work on Kindle Fire
"
1698,"
It works.
","December 31, 2015",John Hoverson,"
App works fine
"
1699,"
So far have not been able to get it to work at all on my Kindle Fire. Have not yet called Customer Service, but it is certainly not ""plug & play"".
","March 30, 2014",Tom,"
doesn't work on kindle fire hd
"
1700,"
but, I can never find a book that I want, or if I do it isn't available for weeks!  This of course isn't the apps problem.....  I guess the libraries I have access to are very limited.  Am wondering if there is a way I can access other libraries, not in my ""area"".
","January 7, 2013",pets4jc,"
Needs improvement
"
1701,"
this app doesn't download to the fire hd.  it says it in your apps but never shows up.  can't borrow library books and put on kindle.other folks have complained of the same problem.  amazon should fix this problem.  used other users suggestions but didn't work.  so app is useless.
","January 30, 2013",Arleen,"
Very handy app for checking out e-books & audio books ...
"
1702,"
still has confusing glitches.
","January 7, 2017",Marrie Bigelow,Does not work on Kindle fire
1703,"
Very handy app for checking out e-books & audio books from the library. It is a little slow/lags sometimes though.
","October 15, 2014",Stephanie Franco,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1704,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Would love it if it were fixed because I really like ...
"
1705,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
One Star
"
1706,"
I agree with other recent reviewers. The app is suddenly not working--I can't get any titles to load, and it just seems stuck. Would love it if it were fixed because I really like being anle to borrow ebooks from my library when the app is working properly!
","November 15, 2016",Amazon Customer,"
Two Stars
"
1707,"
Not user friendly. Go here, go there, now go here, then here...whew!
","July 27, 2017",Loretta,"
One Star
"
1708,"
Not for me
","February 5, 2016",Cam,"
One Star
"
1709,"
too difficult to use
","January 12, 2017",Amazon Customer,"
Wasted a lot of time following steps only to discover ...
"
1710,"
Not good.
","May 18, 2015",Rolando c lopez,"
Use
"
1711,"
Wasted a lot of time following steps only to discover some other application is needed in ordfer to download books.
","February 5, 2016",Martin Dunn,"
Too many obtuse steps
"
1712,"
I found that it was difficult to use.  I had to do it several times before I was able to get it to load on my system and then when searching I did not get the book I wanted.
","April 26, 2013",katie krieger,"
One Star
"
1713,"
Not user friendly.  Too many steps and some redundant.  I had to go to the library to have the clerk help with download.  Now trying to access my e-book which is in and it says I have no account.  Frustrating.
","October 14, 2014",Jackie,"
Two Stars
"
1714,"
It is not intuitive
","July 18, 2017",kris,Does not work on Kindle fire
1715,"
Too hard to use the system.
","September 27, 2016",Frank Wilson,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1716,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
A bit complicated
"
1717,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
I downloaded the app thinking I would derive the same ...
"
1718,"
I am glad to download a public library access to my Kindle but it is slow and searching comes up with some strange results. It does not give clear directions to use. Having said this I still like going to my local library digitally.
","August 11, 2013",Ellen Burger,"
Some interesting twists like dissolving oneself into the earth
"
1719,"
I downloaded the app thinking I would derive the same benefit as I would have had I visited my public library.  If a book is a bestseller, I have always been able to wait however long until the book isavailable to borrow.I wanted to borrow a book by David Balducci who seems to be quite prolific inhis writings.  I have never read him and just wanted to try a new author.  I wassurprised to find that I could not samplehis new book to see what his books haveto say/offer a new reader.The sample was more gimic than anything else which spoke to me as, "" I am a hot shot writer; you can buy book"". That's nit my public library. To be a patron of the library means that you value everything about books and are willing to donate time and dollars to see that, that institution continues not just to survive but thrive.I gave OverDrive two stars. One star for perpetuating a prolific writer and hi s quest to make more money and another for just being out there for somebody.
","October 18, 2014",Kasoni B. Ullah,"
Overdrive Media Console
"
1720,"
Generally well written.  The plot and characters are reasonably well developed, though not all of them are evenly treated. Some interesting twists like dissolving oneself into the earth, but others, like teleporting, not original.  Archmages etc also not very original. The conspiracy of King Edward and beasts not thoroughly developed nor is why our hero was deemed such a bad guy by the king. Bad guys in general not developed much as characters.All in all, an OK read, but not nearly on the level of Tolkien or Brooks or Jordan or Goodkind.
","December 17, 2016",John Graybill MD,"
OverDrive
"
1721,"
Does what is required. Not the apps fault that my local library is not included in the list. It should work.
","January 21, 2014",Terry McCamish,"
Doesn't work!
"
1722,"
Works great but it's much easier to just download them from the library instead of having to go through this.
","April 17, 2014",Kindle Customer,"
Three Stars
"
1723,"
This will not work on my Kindle fire- It shows that I've ""purchased"" this in my account but when I go to open it on my kindle it will not show up, even after pressing the ""send to kindle"" button several times.
","June 1, 2014",Thorn,"
Issues turning pages
"
1724,"
Can't find any books to read ! Why??
","November 6, 2015",Kindle Customer,"
Three Stars
"
1725,"
It downloads the titles just fine, but there's an issue turning the pages at the end of the chapter.  When you turn to the next chapter, it goes to a random page instead of the first page.  So then you have to flip back to the first page in the chapter.  It's annoying.
","December 4, 2012",Amazon Customer,"
It doesn't work right!
"
1726,"
Problems with connecting my library to app
","April 20, 2016",kim johnson,Does not work on Kindle fire
1727,"
I can no longer download books to my Kindle. OverDrive only allows me to read them in a web browser, which isn't convenient since I'm not always able to connect online. I've been in contact with my library and OverDrive and cannot get appropriate help to fix the problem.
","February 10, 2013",Marisa Enzinna,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1728,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
One Star
"
1729,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Two Stars
"
1730,"
Could not find my local library, so deleted it.
","February 10, 2016",Chris,"
Don't bother
"
1731,"
unclear on how to use it
","October 19, 2014",Raymond e grant jr,"
This was a difficult app to use. Got it ...
"
1732,"
Have tried a number of times to access it. Have not had success. Have now given up.
","June 12, 2015",BB,"
NOT userfriendly
"
1733,"
This was a difficult app to use.  Got it to use for my library, but it was confusing. Not as simple as other apps I have used.
","August 21, 2014",Kindle Customer,"
Two Stars
"
1734,"
Not user-friendly at all. 3M is much better. Very hard to  navigate. Don't recommend unless it is your last resort.
","July 21, 2014",Joelshakmn,"
Three Stars
"
1735,"
Not impressed.
","October 2, 2016",Kevin Raiman,"
Not Kindle Fire-HD friendly
"
1736,"
It has great potential but seems to lack user friendliness.
","October 12, 2016",Linda A. Woods,"
One Star
"
1737,"
Without changing a lot of settings, it will not download audiobooks to the Fire.  You have to be wifi connected to listen to your audiobooks.  Will not allow complete MP3 download so you can take the books with you.
","June 28, 2013",Donna L. Conner,"
frustrated
"
1738,"
Very hard to use and understand.  I will probably cancel it.
","April 1, 2015",Linda,Does not work on Kindle fire
1739,"
would not open the book I wanted to listen to on my kindle fire,  I checked out an audio book from the on line library and it could not open it.
","March 24, 2013",Sandi Prom,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1740,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Ok resource but difficult to use.
"
1741,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
It's okay
"
1742,"
I have downloaded this to my Kindle but still struggling to use this product. Will need more support from my local library to use this more.
","September 3, 2013",Elizabeth M. Snyder,"
One Star
"
1743,"
Good basic ereader app. But, it's way too hard to add a book mark. And it doesn't keep track of where you are across devices.
","January 7, 2013",Amazon Customer,"
I don't like to read in the browser
"
1744,"
Would give it more lol, if I could figure out how to use it!!!
","February 19, 2016",Tiggster,"
Frustrating
"
1745,"
Very difficult to figure out.  I don't like to read in the browser.  Much prefer to download library books to my tablet.
","February 2, 2016",Amazon Customer,"
Overdrive Media
"
1746,"
It may be excellent but I have been unable to sign on despite repeated efforts. Keeps going round in circles and rejecting me. Most exasperating..
","September 9, 2015",Rosemary Hitchman,"
It can't play WMA audiobooks/most library books
"
1747,"
I guess it may be OK but I do not fully understand it because I have just received the Kindle and am still learning to use it
","January 26, 2013",Ruby's mom,"
Overdrive on Acer laptop
"
1748,"
It won't play or allow downloads to mobile devices except OSI. It's a dinosaur. It stops millions from listening to library books that they can't afford to buy defeating the purpose of libraries.. WMA files can be converted by other programs IF OverDrive would led you download them to kindle. It does work with ebooks. Amazon should donate audible books to libraries to help libraries and the visually impaired.
","September 3, 2013",Xandra,"
One Star
"
1749,"
This doesn't work.  My library book will not download onto my computer.  It works on my home PC and has for many years.
","July 21, 2013",Valeri,"
crashing
"
1750,"
This was so confusing I finally just gave up.  I will just get books from amazon.
","September 15, 2014",Idaleen  Benjamin,Does not work on Kindle fire
1751,"
Used it for years and now crashes my kindle constantly! Need a patch
","January 2, 2016",K.D.F.,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1752,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
One Star
"
1753,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
One Star
"
1754,"
Don't like its
","December 12, 2016",rosita,"
Not very intuitive.
"
1755,"
it is ok but all the books have a wait list.
","January 5, 2015",Karen Eitniear,"
Three Stars
"
1756,"
The app is very slow.  When I try to borrow a title for my Kindle it opens Amazon with the title already translated into English and I cannot figure out how to find the book in the language advertised.  It does give me an option to read the book in the browser but the browser is so slow...I placed a hold for a book and received a confirmation but there is no where I can check on this hold, edit or delete it.
","December 31, 2018",Cotick Somick,"
One Star
"
1757,"
Not easy to use.
","July 8, 2016",Bruce,"
While the app is relatively easy to operate navigating through the audio book selection process ...
"
1758,"
So painfully slow in downloading the book.
","September 28, 2016",Mona Storm,"
I love being able to download books to listen to for ...
"
1759,"
While the app is relatively easy to operate navigating through the audio book selection process and assigning it to the bookshelf is somewhat of a challenge
","March 27, 2015",r. l. davis,"
The interface is terrible. But I have gotten it to work a ...
"
1760,"
I love being able to download books to listen to for free, I just wish there was a bigger selection to chose from.
","March 25, 2015",evelyn smith,"
Two Stars
"
1761,"
Almost impossible to navigate. I have to find a book on the library's web site and check out there... then hope that Overdrive will recognize my Kindle and the book gets downloaded. The interface is terrible. But I have gotten it to work a couple of times: the only reason it doesn't get one star. OKAY! New Review. Overdrive doesn't work. It can't access the library, it insists I put my email address in EVERY TIME I TRY TO ENTER IT. Terrible. Terrible. Terrible.
","November 8, 2017",R. D. Ader,"
Three Stars
"
1762,"
I liked it better before you made the resent changes.
","December 14, 2016",Patricia Johnson,Does not work on Kindle fire
1763,"
OK
","July 22, 2015",Ray Williams,Libby by Overdrive is a necessary app on Amazon Fire Tablets
1764,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Three Stars
"
1765,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Two Stars
"
1766,"
Works well however a little cumbersome in trying to find what you are looking for.  Not real intuitive
","August 31, 2015",Kindle Customer,"
Two Stars
"
1767,"
kind of a pain to use
","January 6, 2015",Bonnie Gregory,"
One Star
"
1768,"
Needlessly difficult, unintuitive website.
","January 30, 2017",Lawrence M. Gottlieb,"
One Star
"
1769,"
Hard to figure out. Still can't find my checked out book.
","April 25, 2016",Kitty Cat,"
Only read about four chapters. Unable to retrieve to ...
"
1770,"
Not very useful
","April 29, 2017",Healthy4Him,"
Really like what you can do with the app but lag ...
"
1771,"
Only read about four chapters.  Unable to retrieve to finish reading complete book.  The novel was "" The Water is Wide "" by Pat Conro .  r
","May 14, 2015",Marian,"
One Star
"
1772,"
Really like what you can do with the app but lag holds it back. It needs more simplicity and polish...
","March 28, 2015",Victor A. Murillo,"
One Star
"
1773,"
found it difficult to use.  Hard to understand why it should even be needed especially in the Amazon Fire.
","April 22, 2015",Phil Gaito,"
works but difficult to manage
"
1774,"
Put in wrong age and cannot fix itOnly allowed children's booksCan find no way to correct this
","March 11, 2016",Amazon Customer,Does not work on Kindle fire
1775,"
It works, but is not easy to use.
","December 6, 2016",Dave C,Libby by Overdrive is a necessary app on Amazon Fire Tablets
